Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,820000,831000,816000,831000,826109.4375,39327
2014-07-08,831000,832000,815000,831000,826109.4375,55028
2014-07-09,815000,820000,803000,805000,800262.5,100753
2014-07-10,812000,818000,805000,807000,802250.6875,56395
2014-07-11,799000,807000,788000,793000,788333.0625,81023
2014-07-14,796000,811000,793000,808000,803244.8125,52160
2014-07-15,814000,828000,812000,827000,822133,77728
2014-07-16,843000,843000,795000,799000,794297.75,199405
2014-07-17,801000,805000,780000,782000,777397.8125,181944
2014-07-18,780000,785000,761000,783000,778391.875,146542
2014-07-21,792000,793000,763000,766000,761492,145569
2014-07-22,770000,783000,767000,783000,778391.875,82320
2014-07-23,783000,787000,753000,759000,754533.1875,189601
2014-07-24,755000,768000,750000,754000,749562.625,162223
2014-07-25,758000,769000,754000,757000,752545,140486
2014-07-28,759000,767000,757000,764000,759503.8125,97017
2014-07-29,758000,760000,729000,734000,729680.3125,202253
2014-07-30,745000,779000,733000,769000,764474.3125,261185
2014-07-31,779000,785000,737000,749000,744592,311071
2014-08-01,738000,775000,736000,764000,759503.8125,146637
2014-08-04,773000,784000,770000,783000,778391.875,118708
2014-08-05,788000,789000,753000,762000,757515.5,148673
2014-08-06,760000,760000,746000,757000,752545,97729
2014-08-07,753000,757000,736000,745000,740615.5625,85897
2014-08-08,755000,770000,751000,769000,764474.3125,142744
2014-08-11,780000,780000,755000,760000,755527.25,75513
2014-08-12,767000,782000,762000,771000,766462.5,115761
2014-08-13,771000,801000,770000,800000,795291.875,205384
2014-08-14,800000,805000,785000,794000,789327.1875,91178
2014-08-18,800000,803000,789000,794000,789327.1875,75004
2014-08-19,804000,811000,794000,800000,795291.875,95305
2014-08-20,804000,807000,784000,789000,784356.6875,77670
2014-08-21,780000,783000,758000,759000,754533.1875,129827
2014-08-22,759000,777000,759000,774000,769444.8125,48959
2014-08-25,780000,783000,769000,777000,772427.25,46589
2014-08-26,784000,786000,772000,779000,774415.4375,52850
2014-08-27,777000,796000,772000,780000,775409.625,70426
2014-08-28,780000,783000,765000,765000,760497.875,64869
2014-08-29,769000,778000,764000,768000,763480.25,69184
2014-09-01,768000,776000,763000,765000,760497.875,26696
2014-09-02,763000,771000,761000,763000,758509.5625,51547
2014-09-03,763000,765000,750000,750000,745586.125,86429
2014-09-04,750000,755000,746000,750000,745586.125,86155
2014-09-05,750000,754000,719000,725000,720733.3125,155529
2014-09-11,720000,723000,698000,699000,694886.25,266115
2014-09-12,705000,728000,702000,708000,703833.3125,179026
2014-09-15,706000,720000,705000,710000,705821.5,63734
